"","POS_mm","RghtLft","SECTION","volume","volume D","volume V","index","index D","index V","mb","set","src","position"
"1130",23,"right","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","right distal"
"4964",23,"right","medial",4.65e-05,2.2e-05,4.425e-05,0.8413,0.5068,1.1757,"MB22",2,"MB22-2","right medial"
"3157",23,"right","medial",0.0003045,0.0001075,0.000338,2.5572,0.2751,4.8393,"MB18",2,"MB18-2","right medial"
"2832",23,"right","medial",0.00077575,0.000365,0.000491,3.0593,1.0839,5.0347,"MB18",1,"MB18-1","right medial"
"4606",23,"right","medial",0.0027195,0.00102,0.00300975,4.5679,3.2527,5.8832,"MB22",1,"MB22-1","right medial"
"2569",23,"right","proximal",0.001057,0.000344,0.0007475,1.9225,1.8148,2.0302,"MB17",2,"MB17-2","right proximal"
"2031",23,"right","proximal",0.00285075,0.00016225,0.00316025,4.9987,0.8729,9.1244,"MB14",2,"MB14-2","right proximal"
"1131",23.1,"left","distal",0.00018175,0.000134,4.775e-05,0.6989,1.3091,0.0887,"MB13",1,"MB13-1","left distal"
"3479",23.1,"left","distal",0.000183,0.00010525,7.775e-05,0.8935,1.2588,0.5282,"MB19",1,"MB19-1","left distal"
"1419",23.1,"left","distal",0,0,0,0,0,0,"MB13",2,"MB13-2","left distal"
"4965",23.1,"left","medial",0.00032925,0.000169,0.0001685,1.0244,1.0971,0.9517,"MB22",2,"MB22-2","left medial"
"3158",23.1,"left","medial",0.00056225,0.00011125,0.000518,2.8656,0.1222,5.609,"MB18",2,"MB18-2","left medial"
"2833",23.1,"left","medial",0.00229375,0.00023625,0.00222175,3.7995,2.6729,4.9261,"MB18",1,"MB18-1","left medial"
"4607",23.1,"left","medial",0.0029775,9.325e-05,0.0037825,2.7961,0.7577,4.8345,"MB22",1,"MB22-1","left medial"
"2570",23.1,"left","proximal",0.00154325,0.0003415,0.0013745,2.144,1.4686,2.8195,"MB17",2,"MB17-2","left proximal"
"2032",23.1,"left","proximal",0.0059395,0.004064,0.0018755,6.2607,7.1934,5.3279,"MB14",2,"MB14-2","left proximal"
"5318",23.1,"right","medial",2e-04,1e-04,1e-04,0.6496,0.7962,0.5031,"MB23",1,"MB23-1","right medial"
"5712",23.1,"right","medial",9e-04,0,0.001,1.8608,1.0347,2.6868,"MB23",2,"MB23-2","right medial"
"1699",23.1,"right","medial",6.5e-06,0,0.0024735,2.5828,0,5.1657,"MB14",1,"MB14-1","right medial"
"4068",23.1,"right","proximal",0.0023,9e-04,0.0016,7.0207,7.7994,6.2419,"MB21",1,"MB21-1","right proximal"
"669",23.1,"right","proximal",0.0031,0.0015,0.0018,5.6049,9.2282,1.9816,"MB12",1,"MB12-1","right proximal"
"4357",23.1,"right","proximal",0.0067,0.004,0.0027,7.2677,5.8361,8.6993,"MB21",2,"MB21-2","right proximal"
"2311",23.1,"right","proximal",0.00100225,0.000448,0.00055425,3.11,3.4623,2.7577,"MB17",1,"MB17-1","right proximal"
"3778",23.1,"right","proximal",0,0,0,0,0,0,"MB19",2,"MB19-2","right proximal"
"5713",23.2,"left","medial",1e-04,0,3e-04,1.0102,1.5,0.5205,"MB23",2,"MB23-2","left medial"
"5319",23.2,"left","medial",3e-04,2e-04,1e-04,0.999,1.8437,0.1543,"MB23",1,"MB23-1","left medial"
"1700",23.2,"left","medial",0.002101,5.125e-05,0.00359725,3.8679,1.1705,6.5653,"MB14",1,"MB14-1","left medial"
"4069",23.2,"left","proximal",0,0,0.001,2.7114,2,3.4228,"MB21",1,"MB21-1","left proximal"
"4358",23.2,"left","proximal",0.002,7e-04,0.0018,6.2645,8.158,4.3709,"MB21",2,"MB21-2","left proximal"
"670",23.2,"left","proximal",0.0034,0.003,3e-04,4.3366,8.4406,0.2326,"MB12",1,"MB12-1","left proximal"
"3779",23.2,"left","proximal",0.000388,2.925e-05,0.00053975,1.3788,1.0038,1.7538,"MB19",2,"MB19-2","left proximal"
"2312",23.2,"left","proximal",0,0,0,0,0,0,"MB17",1,"MB17-1","left proximal"
"3480",23.2,"right","distal",0.00060825,0.0003895,0.00021875,2.7196,3.3347,2.1046,"MB19",1,"MB19-1","right distal"
"1420",23.2,"right","distal",0.00084175,0.000413,0.000429,2.3213,2.8008,1.8417,"MB13",2,"MB13-2","right distal"
"1132",23.2,"right","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","right distal"
"3159",23.2,"right","medial",0.0003345,9.8e-05,0.00033575,2.7736,0.0761,5.4711,"MB18",2,"MB18-2","right medial"
"2834",23.2,"right","medial",0.00048325,0.00019525,0.0003685,2.1705,0.0624,4.2786,"MB18",1,"MB18-1","right medial"
"4608",23.2,"right","medial",0.0031795,0.001345,0.00325525,4.9112,3.7915,6.0309,"MB22",1,"MB22-1","right medial"
"4966",23.2,"right","medial",0,0,0,0,0,0,"MB22",2,"MB22-2","right medial"
"2571",23.2,"right","proximal",0.00101225,0.00028975,0.00075325,2.0494,2.2221,1.8767,"MB17",2,"MB17-2","right proximal"
"2033",23.2,"right","proximal",0.0029475,0.00024275,0.00306125,4.9989,0.9898,9.008,"MB14",2,"MB14-2","right proximal"
"1421",23.3,"left","distal",4.525e-05,2e-05,5.3e-05,0.1531,0.194,0.1122,"MB13",2,"MB13-2","left distal"
"1133",23.3,"left","distal",0.0001295,9.025e-05,3.9e-05,0.498,0.9191,0.077,"MB13",1,"MB13-1","left distal"
"3481",23.3,"left","distal",0.00018725,0.000112,7.525e-05,0.9949,1.4897,0.5002,"MB19",1,"MB19-1","left distal"
"3160",23.3,"left","medial",0.000471,6.6e-05,0.00045925,2.851,0.0929,5.6091,"MB18",2,"MB18-2","left medial"
"2835",23.3,"left","medial",0.0023585,0.00018425,0.002345,3.7435,2.2645,5.2225,"MB18",1,"MB18-1","left medial"
"4609",23.3,"left","medial",0.00315225,0.000341,0.00369625,2.9153,1.1044,4.7262,"MB22",1,"MB22-1","left medial"
"4967",23.3,"left","medial",0,0,0,0,0,0,"MB22",2,"MB22-2","left medial"
"2572",23.3,"left","proximal",0.0022575,6e-04,0.001708,2.8567,2.0932,3.6202,"MB17",2,"MB17-2","left proximal"
"2034",23.3,"left","proximal",0.00661375,0.00430525,0.00233975,6.7267,7.667,5.7864,"MB14",2,"MB14-2","left proximal"
"5320",23.3,"right","medial",3e-04,1e-04,2e-04,1.0062,1.3373,0.675,"MB23",1,"MB23-1","right medial"
"1701",23.3,"right","medial",1.5e-06,0,0.00234375,2.443,0,4.886,"MB14",1,"MB14-1","right medial"
"5714",23.3,"right","medial",9e-04,0,0.001,2.1993,1.5098,2.8889,"MB23",2,"MB23-2","right medial"
"4070",23.3,"right","proximal",0.0018,6e-04,0.0014,6.5446,7.1576,5.9316,"MB21",1,"MB21-1","right proximal"
"671",23.3,"right","proximal",0.0018,0.0013,6e-04,4.879,9.0806,0.6773,"MB12",1,"MB12-1","right proximal"
"4359",23.3,"right","proximal",0.0064,0.0038,0.0026,6.9132,5.2904,8.5359,"MB21",2,"MB21-2","right proximal"
"2313",23.3,"right","proximal",0.001208,0.0006525,0.0005555,3.4697,4.1075,2.8318,"MB17",1,"MB17-1","right proximal"
"3780",23.3,"right","proximal",0,0,0,0,0,0,"MB19",2,"MB19-2","right proximal"
"5715",23.4,"left","medial",1e-04,0,4e-04,1.1514,1.5,0.8027,"MB23",2,"MB23-2","left medial"
"5321",23.4,"left","medial",5e-04,2e-04,4e-04,1.4363,1.9399,0.9327,"MB23",1,"MB23-1","left medial"
"1702",23.4,"left","medial",0.00211375,1.6e-05,0.00381925,3.9857,1.034,6.9374,"MB14",1,"MB14-1","left medial"
"4071",23.4,"left","proximal",1e-04,0,0.001,2.5448,2,3.0896,"MB21",1,"MB21-1","left proximal"
"4360",23.4,"left","proximal",0.0021,0.001,0.0013,4.6745,6.5216,2.8274,"MB21",2,"MB21-2","left proximal"
